# year,team,score,seed,numwins
1975,Boston Celtics,46,1,6
1975,Buffalo Braves,27,3,3
1975,Chicago Bulls,68,2,7
1975,Detroit Pistons,58.3333,5,2.33333
1975,Golden State Warriors,132,1,12
1975,Houston Rockets,130.667,4,5.66667
1975,Kansas City-Omaha Kings,18,3,2
1975,New York Knicks,58.3333,5,2.33333
1975,Seattle Supersonics,146.667,4,6.66667
1975,Washington Bullets,112,2,8
1976,Boston Celtics,132,1,12
1976,Buffalo Braves,206.667,5,6.66667
1976,Cleveland Cavaliers,64,2,6
1976,Detroit Pistons,206.667,5,6.66667
1976,Golden State Warriors,47,1,7
1976,Milwaukee Bucks,37.3333,4,2.33333
1976,Philadelphia 76ers,37.3333,4,2.33333
1976,Phoenix Suns,170,3,10
1976,Seattle Supersonics,8,2,2
1976,Washington Bullets,27,3,3
1977,Boston Celtics,162.667,4,7.66667
1977,Chicago Bulls,84,6,2.33333
1977,Cleveland Cavaliers,84,6,2.33333
1977,Denver Nuggets,8,2,2
1977,Detroit Pistons,58.3333,5,2.33333
1977,Golden State Warriors,162.667,4,7.66667
1977,Houston Rockets,64,2,6
1977,Los Angeles Lakers,44,1,4
1977,Philadelphia 76ers,90,1,10
1977,Portland Trail Blazers,310,3,16.6667
1977,San Antonio Spurs,0,5,0
1977,Washington Bullets,100,3,6.66667
1978,Atlanta Hawks,0,6,0
1978,Cleveland Cavaliers,0,4,0
1978,Denver Nuggets,64,2,6
1978,Los Angeles Lakers,58.3333,5,2.33333
1978,Milwaukee Bucks,316,6,7.66667
1978,New York Knicks,156.667,5,4.66667
1978,Philadelphia 76ers,46,1,6
1978,Phoenix Suns,0,3,0
1978,Portland Trail Blazers,2,1,2
1978,San Antonio Spurs,8,2,2
1978,Seattle Supersonics,370.667,4,15.6667
1978,Washington Bullets,310,3,16.6667
1979,Atlanta Hawks,231.667,5,7.66667
1979,Denver Nuggets,37.3333,4,2.33333
1979,Houston Rockets,0,4,0
1979,Kansas City Kings,4,2,1
1979,Los Angeles Lakers,181.667,5,5.66667
1979,New Jersey Nets,0,6,0
1979,Philadelphia 76ers,109,3,7.66667
1979,Phoenix Suns,185,3,11.6667
1979,Portland Trail Blazers,84,6,2.33333
1979,San Antonio Spurs,68,2,7
1979,Seattle Supersonics,132,1,12
1979,Washington Bullets,89,1,9
1980,Atlanta Hawks,4,2,1
1980,Boston Celtics,45,1,5
1980,Houston Rockets,114.667,4,4.66667
1980,Kansas City Kings,58.3333,5,2.33333
1980,Los Angeles Lakers,132,1,12
1980,Milwaukee Bucks,12,2,3
1980,Philadelphia 76ers,252,3,14.6667
1980,Phoenix Suns,130.667,4,5.66667
1980,Portland Trail Blazers,84,6,2.33333
1980,San Antonio Spurs,58.3333,5,2.33333
1980,Seattle Supersonics,167,3,9.66667
1980,Washington Bullets,0,6,0
1981,Boston Celtics,132,1,12
1981,Chicago Bulls,156.667,5,4.66667
1981,Houston Rockets,648,6,14.6667
1981,Indiana Pacers,0,6,0
1981,Kansas City Kings,321.667,5,9.66667
1981,Los Angeles Lakers,21,3,2.33333
1981,Milwaukee Bucks,12,2,3
1981,New York Knicks,0,4,0
1981,Philadelphia 76ers,185,3,11.6667
1981,Phoenix Suns,3,1,3
1981,Portland Trail Blazers,37.3333,4,2.33333
1981,San Antonio Spurs,12,2,3
1982,Atlanta Hawks,0,6,0
1982,Boston Celtics,47,1,7
1982,Denver Nuggets,37.3333,4,2.33333
1982,Houston Rockets,84,6,2.33333
1982,Los Angeles Lakers,132,1,12
1982,Milwaukee Bucks,8,2,2
1982,New Jersey Nets,0,4,0
1982,Philadelphia 76ers,252,3,14.6667
1982,Phoenix Suns,156.667,5,4.66667
1982,San Antonio Spurs,56,2,4
1982,Seattle Supersonics,91,3,5.66667
1982,Washington Bullets,181.667,5,5.66667
1983,Atlanta Hawks,84,6,2.33333
1983,Boston Celtics,82,3,4.66667
1983,Denver Nuggets,244,6,5.66667
1983,Los Angeles Lakers,88,1,8
1983,Milwaukee Bucks,60,2,5
1983,New Jersey Nets,0,4,0
1983,New York Knicks,156.667,5,4.66667
1983,Philadelphia 76ers,135,1,15
1983,Phoenix Suns,21,3,2.33333
1983,Portland Trail Blazers,181.667,5,5.66667
1983,San Antonio Spurs,64,2,6
1983,Seattle Supersonics,0,4,0
1984,Atlanta Hawks,137.2,7,2.8
1984,Boston Celtics,179.2,1,19.2
1984,Dallas Mavericks,123.2,4,5.2
1984,Denver Nuggets,137.2,7,2.8
1984,Detroit Pistons,44.8,4,2.8
1984,Kansas City Kings,0,8,0
1984,Los Angeles Lakers,177.45,1,17.45
1984,Milwaukee Bucks,116.8,2,9.2
1984,New Jersey Nets,263.2,6,6.2
1984,New York Knicks,220,5,7.2
1984,Philadelphia 76ers,25.2,3,2.8
1984,Phoenix Suns,447.2,6,10.2
1984,Portland Trail Blazers,25.2,3,2.8
1984,Seattle Supersonics,70,5,2.8
1984,Utah Jazz,64.8,2,6.2
1984,Washington Bullets,89.6,8,1.4
1985,Boston Celtics,134.2,1,14.2
1985,Chicago Bulls,68.6,7,1.4
1985,Cleveland Cavaliers,89.6,8,1.4
1985,Dallas Mavericks,22.4,4,1.4
1985,Denver Nuggets,116.8,2,9.2
1985,Detroit Pistons,139.2,4,6.2
1985,Houston Rockets,25.2,3,2.8
1985,Los Angeles Lakers,176.2,1,16.2
1985,Milwaukee Bucks,56.8,2,4.2
1985,New Jersey Nets,0,5,0
1985,Philadelphia 76ers,162.8,3,9.2
1985,Phoenix Suns,0,8,0
1985,Portland Trail Blazers,170,5,5.2
1985,San Antonio Spurs,137.2,7,2.8
1985,Utah Jazz,227.2,6,5.2
1985,Washington Bullets,50.4,6,1.4
1986,Atlanta Hawks,123.2,4,5.2
1986,Boston Celtics,176.2,1,16.2
1986,Chicago Bulls,0,8,0
1986,Dallas Mavericks,139.2,4,6.2
1986,Denver Nuggets,95.8,3,6.2
1986,Detroit Pistons,35,5,1.4
1986,Houston Rockets,176.8,2,14.2
1986,Los Angeles Lakers,89.2,1,9.2
1986,Milwaukee Bucks,112.8,2,8.2
1986,New Jersey Nets,0,7,0
1986,Philadelphia 76ers,104.8,3,7.2
1986,Portland Trail Blazers,50.4,6,1.4
1986,Sacramento Kings,0,7,0
1986,San Antonio Spurs,0,8,0
1986,Utah Jazz,35,5,1.4
1986,Washington Bullets,100.8,6,2.8
1987,Atlanta Hawks,60.8,2,5.2
1987,Boston Celtics,134.2,1,14.2
1987,Chicago Bulls,0,8,0
1987,Dallas Mavericks,5.6,2,1.4
1987,Denver Nuggets,0,8,0
1987,Detroit Pistons,180.8,3,11.2
1987,Golden State Warriors,170,5,5.2
1987,Houston Rockets,263.2,6,6.2
1987,Indiana Pacers,68.6,7,1.4
1987,Los Angeles Lakers,176.2,1,16.2
1987,Milwaukee Bucks,155.2,4,7.2
1987,Philadelphia 76ers,70,5,2.8
1987,Portland Trail Blazers,12.6,3,1.4
1987,Seattle Supersonics,481.8,7,8.2
1987,Utah Jazz,44.8,4,2.8
1987,Washington Bullets,0,6,0
1988,Atlanta Hawks,155.2,4,7.2
1988,Boston Celtics,90.2,1,10.2
1988,Chicago Bulls,86.8,3,5.2
1988,Cleveland Cavaliers,100.8,6,2.8
1988,Dallas Mavericks,180.8,3,11.2
1988,Denver Nuggets,64.8,2,6.2
1988,Detroit Pistons,180.8,2,15.2
1988,Houston Rockets,50.4,6,1.4
1988,Los Angeles Lakers,176.2,1,16.2
1988,Milwaukee Bucks,70,5,2.8
1988,New York Knicks,89.6,8,1.4
1988,Portland Trail Blazers,22.4,4,1.4
1988,San Antonio Spurs,0,8,0
1988,Seattle Supersonics,137.2,7,2.8
1988,Utah Jazz,220,5,7.2
1988,Washington Bullets,137.2,7,2.8
1989,Atlanta Hawks,44.8,4,2.8
1989,Boston Celtics,0,8,0
1989,Chicago Bulls,447.2,6,10.2
1989,Cleveland Cavaliers,25.2,3,2.8
1989,Denver Nuggets,0,6,0
1989,Detroit Pistons,176.2,1,16.2
1989,Golden State Warriors,294.8,7,5.2
1989,Houston Rockets,35,5,1.4
1989,Los Angeles Lakers,132.2,1,12.2
1989,Milwaukee Bucks,145,5,4.2
1989,New York Knicks,64.8,2,6.2
1989,Philadelphia 76ers,0,7,0
1989,Phoenix Suns,153.8,3,8.2
1989,Portland Trail Blazers,0,8,0
1989,Seattle Supersonics,107.2,4,4.2
1989,Utah Jazz,0,2,0
1990,Boston Celtics,44.8,4,2.8
1990,Chicago Bulls,180.8,3,11.2
1990,Cleveland Cavaliers,137.2,7,2.8
1990,Dallas Mavericks,0,6,0
1990,Denver Nuggets,0,7,0
1990,Detroit Pistons,176.2,1,16.2
1990,Houston Rockets,89.6,8,1.4
1990,Indiana Pacers,0,8,0
1990,Los Angeles Lakers,45.2,1,5.2
1990,Milwaukee Bucks,50.4,6,1.4
1990,New York Knicks,170,5,5.2
1990,Philadelphia 76ers,60.8,2,5.2
1990,Phoenix Suns,335,5,10.2
1990,Portland Trail Blazers,238.8,3,13.2
1990,San Antonio Spurs,68.8,2,7.2
1990,Utah Jazz,44.8,4,2.8
1991,Atlanta Hawks,100.8,6,2.8
1991,Boston Celtics,64.8,2,6.2
1991,Chicago Bulls,176.2,1,16.2
1991,Detroit Pistons,153.8,3,8.2
1991,Golden State Warriors,294.8,7,5.2
1991,Houston Rockets,0,6,0
1991,Indiana Pacers,137.2,7,2.8
1991,Los Angeles Lakers,238.8,3,13.2
1991,Milwaukee Bucks,0,4,0
1991,New York Knicks,0,8,0
1991,Philadelphia 76ers,170,5,5.2
1991,Phoenix Suns,22.4,4,1.4
1991,Portland Trail Blazers,90.2,1,10.2
1991,San Antonio Spurs,5.6,2,1.4
1991,Seattle Supersonics,179.2,8,2.8
1991,Utah Jazz,170,5,5.2
1992,Boston Celtics,68.8,2,7.2
1992,Chicago Bulls,176.2,1,16.2
1992,Cleveland Cavaliers,171.8,3,10.2
1992,Detroit Pistons,70,5,2.8
1992,Golden State Warriors,12.6,3,1.4
1992,Indiana Pacers,0,7,0
1992,Los Angeles Clippers,137.2,7,2.8
1992,Los Angeles Lakers,89.6,8,1.4
1992,Miami Heat,0,8,0
1992,New Jersey Nets,50.4,6,1.4
1992,New York Knicks,155.2,4,7.2
1992,Phoenix Suns,123.2,4,5.2
1992,Portland Trail Blazers,134.2,1,14.2
1992,San Antonio Spurs,0,5,0
1992,Seattle Supersonics,227.2,6,5.2
1992,Utah Jazz,120.8,2,10.2
1993,Atlanta Hawks,0,7,0
1993,Boston Celtics,22.4,4,1.4
1993,Charlotte Hornets,170,5,5.2
1993,Chicago Bulls,224.8,2,16.2
1993,Cleveland Cavaliers,77.8,3,4.2
1993,Houston Rockets,68.8,2,7.2
1993,Indiana Pacers,89.6,8,1.4
1993,Los Angeles Clippers,137.2,7,2.8
1993,Los Angeles Lakers,179.2,8,2.8
1993,New Jersey Nets,100.8,6,2.8
1993,New York Knicks,90.2,1,10.2
1993,Phoenix Suns,134.2,1,14.2
1993,Portland Trail Blazers,22.4,4,1.4
1993,San Antonio Spurs,195,5,6.2
1993,Seattle Supersonics,180.8,3,11.2
1993,Utah Jazz,100.8,6,2.8
1994,Atlanta Hawks,46.2,1,6.2
1994,Chicago Bulls,104.8,3,7.2
1994,Cleveland Cavaliers,0,6,0
1994,Denver Nuggets,500.8,8,7.2
1994,Golden State Warriors,0,6,0
1994,Houston Rockets,224.8,2,16.2
1994,Indiana Pacers,360,5,11.2
1994,Miami Heat,179.2,8,2.8
1994,New Jersey Nets,68.6,7,1.4
1994,New York Knicks,180.8,2,15.2
1994,Orlando Magic,0,4,0
1994,Phoenix Suns,104.8,3,7.2
1994,Portland Trail Blazers,68.6,7,1.4
1994,San Antonio Spurs,22.4,4,1.4
1994,Seattle Supersonics,2.8,1,2.8
1994,Utah Jazz,310,5,9.2
1995,Atlanta Hawks,0,7,0
1995,Boston Celtics,89.6,8,1.4
1995,Charlotte Hornets,22.4,4,1.4
1995,Chicago Bulls,195,5,6.2
1995,Cleveland Cavaliers,50.4,6,1.4
1995,Denver Nuggets,0,8,0
1995,Houston Rockets,743.2,6,16.2
1995,Indiana Pacers,124.8,2,11.2
1995,Los Angeles Lakers,195,5,6.2
1995,New York Knicks,104.8,3,7.2
1995,Orlando Magic,132.2,1,12.2
1995,Phoenix Suns,68.8,2,7.2
1995,Portland Trail Blazers,0,7,0
1995,San Antonio Spurs,90.2,1,10.2
1995,Seattle Supersonics,22.4,4,1.4
1995,Utah Jazz,25.2,3,2.8
1996,Atlanta Hawks,227.2,6,5.2
1996,Chicago Bulls,176.2,1,16.2
1996,Cleveland Cavaliers,0,4,0
1996,Detroit Pistons,0,7,0
1996,Houston Rockets,145,5,4.2
1996,Indiana Pacers,25.2,3,2.8
1996,Los Angeles Lakers,22.4,4,1.4
1996,Miami Heat,0,8,0
1996,New York Knicks,170,5,5.2
1996,Orlando Magic,112.8,2,8.2
1996,Phoenix Suns,68.6,7,1.4
1996,Portland Trail Blazers,100.8,6,2.8
1996,Sacramento Kings,89.6,8,1.4
1996,San Antonio Spurs,64.8,2,6.2
1996,Seattle Supersonics,134.2,1,14.2
1996,Utah Jazz,180.8,3,11.2
1997,Atlanta Hawks,123.2,4,5.2
1997,Charlotte Hornets,0,6,0
1997,Chicago Bulls,176.2,1,16.2
1997,Detroit Pistons,70,5,2.8
1997,Houston Rockets,171.8,3,10.2
1997,Los Angeles Clippers,0,8,0
1997,Los Angeles Lakers,123.2,4,5.2
1997,Miami Heat,112.8,2,8.2
1997,Minnesota Timberwolves,0,6,0
1997,New York Knicks,104.8,3,7.2
1997,Orlando Magic,137.2,7,2.8
1997,Phoenix Suns,137.2,7,2.8
1997,Portland Trail Blazers,35,5,1.4
1997,Seattle Supersonics,68.8,2,7.2
1997,Utah Jazz,134.2,1,14.2
1997,Washington Bullets,0,8,0
1998,Atlanta Hawks,35,5,1.4
1998,Charlotte Hornets,123.2,4,5.2
1998,Chicago Bulls,176.2,1,16.2
1998,Cleveland Cavaliers,50.4,6,1.4
1998,Houston Rockets,179.2,8,2.8
1998,Indiana Pacers,180.8,3,11.2
1998,Los Angeles Lakers,153.8,3,8.2
1998,Miami Heat,11.2,2,2.8
1998,Minnesota Timberwolves,137.2,7,2.8
1998,New Jersey Nets,0,8,0
1998,New York Knicks,294.8,7,5.2
1998,Phoenix Suns,22.4,4,1.4
1998,Portland Trail Blazers,50.4,6,1.4
1998,San Antonio Spurs,170,5,5.2
1998,Seattle Supersonics,60.8,2,5.2
1998,Utah Jazz,134.2,1,14.2
1999,Atlanta Hawks,107.2,4,4.2
1999,Detroit Pistons,70,5,2.8
1999,Houston Rockets,22.4,4,1.4
1999,Indiana Pacers,120.8,2,10.2
1999,Los Angeles Lakers,145,5,4.2
1999,Miami Heat,2.8,1,2.8
1999,Milwaukee Bucks,0,7,0
1999,Minnesota Timberwolves,89.6,8,1.4
1999,New York Knicks,964.8,8,13.2
1999,Orlando Magic,12.6,3,1.4
1999,Philadelphia 76ers,191.2,6,4.2
1999,Phoenix Suns,0,6,0
1999,Portland Trail Blazers,153.8,3,8.2
1999,Sacramento Kings,137.2,7,2.8
1999,San Antonio Spurs,176.2,1,16.2
1999,Utah Jazz,64.8,2,6.2
2000,Charlotte Hornets,35,5,1.4
2000,Detroit Pistons,0,7,0
2000,Indiana Pacers,134.2,1,14.2
2000,Los Angeles Lakers,176.2,1,16.2
2000,Miami Heat,68.8,2,7.2
2000,Milwaukee Bucks,179.2,8,2.8
2000,Minnesota Timberwolves,50.4,6,1.4
2000,New York Knicks,171.8,3,10.2
2000,Philadelphia 76ers,139.2,4,6.2
2000,Phoenix Suns,170,5,5.2
2000,Portland Trail Blazers,180.8,3,11.2
2000,Sacramento Kings,179.2,8,2.8
2000,San Antonio Spurs,22.4,4,1.4
2000,Seattle Supersonics,137.2,7,2.8
2000,Toronto Raptors,0,6,0
2000,Utah Jazz,60.8,2,5.2
2001,Charlotte Hornets,299.2,6,7.2
2001,Dallas Mavericks,170,5,5.2
2001,Indiana Pacers,89.6,8,1.4
2001,Los Angeles Lakers,224.8,2,16.2
2001,Miami Heat,0,3,0
2001,Milwaukee Bucks,124.8,2,11.2
2001,Minnesota Timberwolves,89.6,8,1.4
2001,New York Knicks,44.8,4,2.8
2001,Orlando Magic,68.6,7,1.4
2001,Philadelphia 76ers,133.2,1,13.2
2001,Phoenix Suns,50.4,6,1.4
2001,Portland Trail Blazers,0,7,0
2001,Sacramento Kings,77.8,3,4.2
2001,San Antonio Spurs,88.2,1,8.2
2001,Toronto Raptors,220,5,7.2
2001,Utah Jazz,44.8,4,2.8
2002,Boston Celtics,171.8,3,10.2
2002,Charlotte Hornets,123.2,4,5.2
2002,Dallas Mavericks,123.2,4,5.2
2002,Detroit Pistons,60.8,2,5.2
2002,Indiana Pacers,179.2,8,2.8
2002,Los Angeles Lakers,305.8,3,16.2
2002,Minnesota Timberwolves,0,5,0
2002,New Jersey Nets,132.2,1,12.2
2002,Orlando Magic,35,5,1.4
2002,Philadelphia 76ers,100.8,6,2.8
2002,Portland Trail Blazers,0,6,0
2002,Sacramento Kings,91.2,1,11.2
2002,San Antonio Spurs,60.8,2,5.2
2002,Seattle Supersonics,137.2,7,2.8
2002,Toronto Raptors,137.2,7,2.8
2002,Utah Jazz,89.6,8,1.4
2003,Boston Celtics,184,6,4
2003,Dallas Mavericks,170,3,10
2003,Detroit Pistons,88,1,8
2003,Indiana Pacers,18,3,2
2003,Los Angeles Lakers,190,5,6
2003,Milwaukee Bucks,98,7,2
2003,Minnesota Timberwolves,32,4,2
2003,New Jersey Nets,176,2,14
2003,New Orleans Hornets,50,5,2
2003,Orlando Magic,192,8,3
2003,Philadelphia 76ers,136,4,6
2003,Phoenix Suns,128,8,2
2003,Portland Trail Blazers,108,6,3
2003,Sacramento Kings,68,2,7
2003,San Antonio Spurs,176,1,16
2003,Utah Jazz,49,7,1
2004,Boston Celtics,0,8,0
2004,Dallas Mavericks,25,5,1
2004,Denver Nuggets,64,8,1
2004,Detroit Pistons,304,3,16
2004,Houston Rockets,49,7,1
2004,Indiana Pacers,90,1,10
2004,Los Angeles Lakers,172,2,13
2004,Memphis Grizzlies,0,6,0
2004,Miami Heat,136,4,6
2004,Milwaukee Bucks,36,6,1
2004,Minnesota Timberwolves,90,1,10
2004,New Jersey Nets,68,2,7
2004,New Orleans Hornets,75,5,3
2004,New York Knicks,0,7,0
2004,Sacramento Kings,152,4,7
2004,San Antonio Spurs,94,3,6
2005,Boston Celtics,27,3,3
2005,Chicago Bulls,32,4,2
2005,Dallas Mavericks,136,4,6
2005,Denver Nuggets,49,7,1
2005,Detroit Pistons,180,2,15
2005,Houston Rockets,75,5,3
2005,Indiana Pacers,256,6,6
2005,Memphis Grizzlies,0,8,0
2005,Miami Heat,91,1,11
2005,New Jersey Nets,0,8,0
2005,Philadelphia 76ers,49,7,1
2005,Phoenix Suns,89,1,9
2005,Sacramento Kings,36,6,1
2005,San Antonio Spurs,224,2,16
2005,Seattle Supersonics,94,3,6
2005,Washington Wizards,140,5,4
2006,Chicago Bulls,98,7,2
2006,Cleveland Cavaliers,152,4,7
2006,Dallas Mavericks,344,4,14
2006,Denver Nuggets,9,3,1
2006,Detroit Pistons,90,1,10
2006,Indiana Pacers,72,6,2
2006,Los Angeles Clippers,292,6,7
2006,Los Angeles Lakers,147,7,3
2006,Memphis Grizzlies,0,5,0
2006,Miami Heat,224,2,16
2006,Milwaukee Bucks,64,8,1
2006,New Jersey Nets,85,3,5
2006,Phoenix Suns,120,2,10
2006,Sacramento Kings,128,8,2
2006,San Antonio Spurs,47,1,7
2006,Washington Wizards,50,5,2
2007,Chicago Bulls,190,5,6
2007,Cleveland Cavaliers,168,2,12
2007,Dallas Mavericks,2,1,2
2007,Denver Nuggets,36,6,1
2007,Detroit Pistons,90,1,10
2007,Golden State Warriors,360,8,5
2007,Houston Rockets,75,5,3
2007,Los Angeles Lakers,49,7,1
2007,Miami Heat,0,4,0
2007,New Jersey Nets,256,6,6
2007,Orlando Magic,0,8,0
2007,Phoenix Suns,64,2,6
2007,San Antonio Spurs,304,3,16
2007,Toronto Raptors,18,3,2
2007,Utah Jazz,224,4,9
2007,Washington Wizards,0,7,0
2008,Atlanta Hawks,192,8,3
2008,Boston Celtics,176,1,16
2008,Cleveland Cavaliers,152,4,7
2008,Dallas Mavericks,49,7,1
2008,Denver Nuggets,0,8,0
2008,Detroit Pistons,120,2,10
2008,Houston Rockets,50,5,2
2008,Los Angeles Lakers,134,1,14
2008,New Orleans Hornets,68,2,7
2008,Orlando Magic,85,3,5
2008,Philadelphia 76ers,98,7,2
2008,Phoenix Suns,36,6,1
2008,San Antonio Spurs,161,3,9
2008,Toronto Raptors,36,6,1
2008,Utah Jazz,136,4,6
2008,Washington Wizards,50,5,2
2009,Atlanta Hawks,104,4,4
2009,Boston Celtics,68,2,7
2009,Chicago Bulls,147,7,3
2009,Cleveland Cavaliers,90,1,10
2009,Dallas Mavericks,220,6,5
2009,Denver Nuggets,120,2,10
2009,Detroit Pistons,0,8,0
2009,Houston Rockets,215,5,7
2009,Los Angeles Lakers,176,1,16
2009,Miami Heat,75,5,3
2009,New Orleans Hornets,49,7,1
2009,Orlando Magic,237,3,13
2009,Philadelphia 76ers,72,6,2
2009,Portland Trail Blazers,32,4,2
2009,San Antonio Spurs,9,3,1
2009,Utah Jazz,64,8,1
2010,Atlanta Hawks,76,3,4
2010,Boston Celtics,360,4,15
2010,Charlotte Bobcats,0,7,0
2010,Chicago Bulls,64,8,1
2010,Cleveland Cavaliers,46,1,6
2010,Dallas Mavericks,8,2,2
2010,Denver Nuggets,32,4,2
2010,Los Angeles Lakers,176,1,16
2010,Miami Heat,25,5,1
2010,Milwaukee Bucks,108,6,3
2010,Oklahoma City Thunder,128,8,2
2010,Orlando Magic,120,2,10
2010,Phoenix Suns,170,3,10
2010,Portland Trail Blazers,72,6,2
2010,San Antonio Spurs,236,7,4
2010,Utah Jazz,140,5,4
2011,Atlanta Hawks,190,5,6
2011,Boston Celtics,85,3,5
2011,Chicago Bulls,89,1,9
2011,Dallas Mavericks,304,3,16
2011,Denver Nuggets,25,5,1
2011,Indiana Pacers,64,8,1
2011,Los Angeles Lakers,56,2,4
2011,Memphis Grizzlies,488,8,7
2011,Miami Heat,176,2,14
2011,New Orleans Hornets,98,7,2
2011,New York Knicks,0,6,0
2011,Oklahoma City Thunder,224,4,9
2011,Orlando Magic,32,4,2
2011,Philadelphia 76ers,49,7,1
2011,Portland Trail Blazers,72,6,2
2011,San Antonio Spurs,2,1,2
2012,Atlanta Hawks,50,5,2
2012,Boston Celtics,256,4,11
2012,Chicago Bulls,2,1,2
2012,Dallas Mavericks,0,7,0
2012,Denver Nuggets,108,6,3
2012,Indiana Pacers,94,3,6
2012,Los Angeles Clippers,140,5,4
2012,Los Angeles Lakers,85,3,5
2012,Memphis Grizzlies,48,4,3
2012,Miami Heat,224,2,16
2012,New York Knicks,49,7,1
2012,Oklahoma City Thunder,172,2,13
2012,Orlando Magic,36,6,1
2012,Philadelphia 76ers,488,8,7
2012,San Antonio Spurs,90,1,10
2012,Utah Jazz,0,8,0
2013,Atlanta Hawks,72,6,2
2013,Boston Celtics,98,7,2
2013,Brooklyn Nets,48,4,3
2013,Chicago Bulls,165,5,5
2013,Denver Nuggets,18,3,2
2013,Golden State Warriors,256,6,6
2013,Houston Rockets,128,8,2
2013,Indiana Pacers,179,3,11
2013,Los Angeles Clippers,32,4,2
2013,Los Angeles Lakers,0,7,0
2013,Memphis Grizzlies,280,5,8
2013,Miami Heat,176,1,16
2013,Milwaukee Bucks,0,8,0
2013,New York Knicks,64,2,6
2013,Oklahoma City Thunder,45,1,5
2013,San Antonio Spurs,180,2,15
2014,Atlanta Hawks,192,8,3
2014,Brooklyn Nets,220,6,5
2014,Charlotte Bobcats,0,7,0
2014,Chicago Bulls,16,4,1
2014,Dallas Mavericks,192,8,3
2014,Golden State Warriors,108,6,3
2014,Houston Rockets,32,4,2
2014,Indiana Pacers,90,1,10
2014,L.A. Clippers,103,3,7
2014,Memphis Grizzlies,147,7,3
2014,Miami Heat,172,2,13
2014,Oklahoma City Thunder,112,2,8
2014,Portland Trail Blazers,165,5,5
2014,San Antonio Spurs,176,1,16
2014,Toronto Raptors,27,3,3
2014,Washington Wizards,190,5,6
2015,ATL,88,1,8
2015,BOS,0,,0
2015,BRK,128,8,2
2015,CHI,94,3,6
2015,CLE,176,2,14
2015,DAL,0,,1
2015,GSW,176,1,16
2015,HOU,116,2,9
2015,LAC,103,3,7
2015,MEM,190,5,6
2015,MIL,0,,2
2015,NOP,0,,0
2015,POR,0,,1
2015,SAS,0,,3
2015,TOR,0,4,0
2015,WAS,190,5,6
2016,ATL,104,4,4
2016,BOS,50,5,2
2016,CHA,108,6,3
2016,CLE,176,1,16
2016,DAL,36,6,1
2016,DET,0,8,0
2016,GSW,131,,15
2016,HOU,64,8,1
2016,IND,147,7,3
2016,LAC,32,4,2
2016,MEM,0,7,0
2016,MIA,52,,7
2016,OKC,179,3,11
2016,POR,165,5,5
2016,SAS,64,2,6
2016,TOR,120,2,10
2017,ATL,50,5,2
2017,BOS,89,1,9
2017,CHI,128,8,2
2017,CLE,172,2,13
2017,GSW,176,1,16
2017,HOU,94,3,6
2017,IND,0,7,0
2017,LAC,48,4,3
